Article,Summary,Authors,Date,Access,Figure,Link paper,TCR,BCR,T CELL,B CELL,NKC,CD4,CD8,DEEP LEARNING,MACHINE LEARNING,ML,DL,CNN,LSTM,HLA
A gammaherpesvirus provides protection against allergic asthma by inducing the replacement of resident alveolar macrophages with regulatory monocytes,Gillet and colleagues find that infection with a gammaherpesvirus confers strong and lasting protection against airway allergy through the replacement of lung-resident alveolar macrophages with recruited regulatory monocytes of bone marrow origin.,Bénédicte MachielsMickael DourcyLaurent Gillet,16 Oct 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3857/MediaObjects/41590_2017_Article_BFni3857_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3857,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cytotoxic and regulatory roles of mucosal-associated invariant T cells in type 1 diabetes,Type 1 diabetes has a multifactorial etiology. Lehuen and colleagues demonstrate that MAIT cells serve both positive roles and negative roles in type 1 diabetes by maintaining gut integrity and limiting pancreatic inflammation but also directly destroying β-cells.,Ophélie RouxelJennifer Da silvaAgnès Lehuen,09 Oct 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3854/MediaObjects/41590_2017_Article_BFni3854_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3854,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NLRX1 promotes immediate IRF1-directed antiviral responses by limiting dsRNA-activated translational inhibition mediated by PKR,"NLR proteins contribute to antiviral immune responses. Lemon and colleagues show that NLRX1 promotes antiviral responses in hepatocytes by competing with the kinase PKR for viral double-stranded RNA, which allows accumulation of the transcription factor IRF1 for early control of viral replication.",Hui FengErik M LenarcicStanley M Lemon,02 Oct 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3853/MediaObjects/41590_2017_Article_BFni3853_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Identification of lineage-specifying cytokines that signal all CD8+-cytotoxic-lineage-fate 'decisions' in the thymus,"T cells developing in the thymus are signaled during positive selection to differentiate into either CD4+ T cells or CD8+ T cells. Singer and colleagues show that CD8+-lineage specification is signaled exclusively by cytokines, including cytokines that do not signal via the γc receptor, and that these are the only signals in the thymus that upregulate the transcription factor Runx3d to direct specification to the CD8+ lineage.",Ruth EtzenspergerTejas KadakiaAlfred Singer,25 Sept 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3847/MediaObjects/41590_2017_BFni3847_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3847,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Human antibodies to the dengue virus E-dimer epitope have therapeutic activity against Zika virus infection,"Diamond, Screaton and colleagues show that certain cross-reactive neutralizing antibodies to dengue virus have therapeutic activity against Zika virus infection in immune-privileged sites in vivo.",Estefania FernandezWanwisa DejnirattisaiMichael S Diamond,25 Sept 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3849/MediaObjects/41590_2017_BFni3849_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germline bias dictates cross-serotype reactivity in a common dengue-virus-specific CD8+ T cell response,Cross-reactivity to dengue virus serotypes can trigger life-threatening inflammation. Culshaw et al. show that germline-encoded components of dengue-virus-specific TCRs influence antigen engagament and suggest that ‘innate-like’ recognition of the virus might underpin harmful cross-reactivity.,Abigail CulshawKristin LadellGavin R Screaton,25 Sept 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3850/MediaObjects/41590_2017_BFni3850_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3850,1,0,1,0,0,0,1,0,0,1,0,0,0,1
Srebp-controlled glucose metabolism is essential for NK cell functional responses,NK cells are cytotoxic cells that combat tumors and viral infection. Finlay and colleagues show that the effector function of cytokine-activated NK cells depends on glucose metabolism via the citrate–malate shuttle that requires the metabolic regulator Srebp.,Nadine AssmannKatie L O'BrienDavid K Finlay,18 Sept 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3838/MediaObjects/41590_2017_BFni3838_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Different molecular complexes that mediate transcriptional induction and repression by FoxP3,"Foxp3 is the Treg cell lineage–defining transcription factor, but its mechanisms of action are still being elucidated. Benoist and colleagues comprehensively generate Foxp3 mutants to delineate how it functions in a cell-context- and molecular-complex-dependent manner.",Ho-Keun KwonHui-Min ChenChristophe Benoist,11 Sept 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3835/MediaObjects/41590_2017_BFni3835_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3835,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dynamic regulation of T follicular regulatory cell responses by interleukin 2 during influenza infection,"Humoral immunity is necessary for controlling viral infection. Ballesteros-Tato and colleagues show that development of follicular regulatory T cells is prevented by high concentrations of interleukin 2 at the peak of viral infection, but resumes at later time points to suppress autoantibody production.",Davide BottaMichael J FullerAndré Ballesteros-Tato,11 Sept 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3837/MediaObjects/41590_2017_BFni3837_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3837,0,0,0,1,0,0,0,0,0,0,0,0,0,0
De novo induction of intratumoral lymphoid structures and vessel normalization enhances immunotherapy in resistant tumors,Ganss and colleagues show that targeting the inflammatory cytokine LIGHT to tumor vessels via a vascular targeting peptide induces tertiary lymphoid structures and enables the influx of endogenous T cells and tumor killing.,Anna Johansson-PercivalBo HeRuth Ganss,11 Sept 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3836/MediaObjects/41590_2017_BFni3836_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3836,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The RNA helicase DDX46 inhibits innate immunity by entrapping m6A-demethylated antiviral transcripts in the nucleus,"Helicases are vital to the induction of antiviral responses. Cao and colleagues demonstrate that the helicase DDX46 is involved in the epigenetic regulation of select RNA species encoding antiviral molecules, which leads to the retention of the RNAs in the nucleus and thus blockade of their translation and the activity of the proteins encoded.",Qingliang ZhengJin HouXuetao Cao,28 Aug 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3830/MediaObjects/41590_2017_Article_BFni3830_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A two-amino-acid substitution in the transcription factor RORγt disrupts its function in TH17 differentiation but not in thymocyte development,"Targeting the transcription factor RORγt in autoimmunity could disrupt thymocyte development and lead to thymic lymphoma. Sun and colleagues identify a two-amino-acid substitution in RORγt that ‘preferentially’ disrupts TH17 differentiation, not thymocyte development.",Zhiheng HeJian MaZuoming Sun,28 Aug 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3832/MediaObjects/41590_2017_Article_BFni3832_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3832,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IFN-λ suppresses intestinal inflammation by non-translational regulation of neutrophil function,The effect of the cytokine IFN-λ in non-epithelial cells remains unclear. Zanoni and colleagues show that IFN-λ specifically activates a signaling pathway that diminishes the production of reactive oxygen species and degranulation in neutrophils.,Achille BroggiYunhao TanIvan Zanoni,28 Aug 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3821/MediaObjects/41590_2017_Article_BFni3821_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asynchronous lineage priming determines commitment to T cell and B cell lineages in fetal liver,The molecular events that initiate lymphoid-lineage specification remain unidentified. Cumano and colleagues define the transcriptional signatures that characterize the loss of B cell or T cell potential.,Claire BerthaultCyrille RamondAna Cumano,21 Aug 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3820/MediaObjects/41590_2017_Article_BFni3820_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3820,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Type I interferons and the cytokine TNF cooperatively reprogram the macrophage epigenome to promote inflammatory activation,No response by an immune cell occurs in isolation but is instead the summation of multiple interacting signals. Ivashkiv and colleagues describe the epigenetic landscape that results from the integration of the inflammatory cytokines type I interferons and TNF.,Sung Ho ParkKyuho KangLionel B Ivashkiv,21 Aug 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3818/MediaObjects/41590_2017_Article_BFni3818_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3818,0,0,0,0,0,0,0,0,0,0,1,0,0,0
T-bet-dependent NKp46+ innate lymphoid cells regulate the onset of TH17-induced neuroinflammation,"Lazarevic and colleagues show that T-bet-dependent NKp46+ innate lymphoid cells reside within the meninges of the CNS and initiate meningeal inflammation, thereby facilitating T cell entry into parenchymal CNS tissues and contributing to neuroinflammation.",Brandon KwongRejane RuaVanja Lazarevic,14 Aug 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3816/MediaObjects/41590_2017_Article_BFni3816_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3816,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Caveolin-1-dependent nanoscale organization of the BCR regulates B cell tolerance,Immature B cells are subject to tolerance mechanisms that prevent the expression of self-reactive BCRs. Minguet and colleagues identify the membrane protein caveolin-1 as a regulator of BCR spatial organization and signaling that enforces B cell tolerance.,Susana MinguetKathrin KläsenerMiguel A Del Pozo,14 Aug 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3813/MediaObjects/41590_2017_Article_BFni3813_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3813,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tumor immunoevasion by the conversion of effector NK cells into type 1 innate lymphoid cells,How tumors evade control by natural killer cells is ill defined. Smyth and colleagues show that natural killer cells in the tumor microenvironment can convert into type I innate lymphoid cells and intermediate type I innate lymphoid cells that favor tumor growth and metastasis.,Yulong GaoFernando Souza-Fonseca-GuimaraesMark J Smyth,31 Jul 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3800/MediaObjects/41590_2017_Article_BFni3800_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3800,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MLL4 prepares the enhancer landscape for Foxp3 induction via chromatin looping,Zhao and colleagues show that the histone lysine methyltransferase MLL4 primes the Foxp3 locus for transcriptional activation in thymus-derived and inducible regulatory T cells.,Katarzyna PlacekGangqing HuKeji Zhao,31 Jul 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3812/MediaObjects/41590_2017_Article_BFni3812_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3812,0,0,1,0,0,0,0,0,0,1,0,0,0,0
SMAD4 impedes the conversion of NK cells into ILC1-like cells by curtailing non-canonical TGF-β signaling,"Colonna and colleagues generate mice in which both type 1 innate lymphoid cells and natural killer cells selectively lack SMAD4, which promotes canonical signaling of all cytokines of the TGF-β family. Unexpectedly, SMAD4 deficiency does not visibly affect the differentiation of type 1 innate lymphoid cells but instead alters the phenotype of conventional natural killer cells.",Victor S CortezTyler K UllandMarco Colonna,31 Jul 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3809/MediaObjects/41590_2017_Article_BFni3809_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3809,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Metabolic control of the scaffold protein TKS5 in tissue-invasive, proinflammatory T cells","Previous studies have defined a state of metabolic reprogramming in rheumatoid arthritis (RA) T cells. Here Weyand and colleagues show that the rewiring of cellular metabolism renders RA T cells tissue invasive, directly promoting disease-inducing effector functions.",Yi ShenZhenke WenCornelia M Weyand,24 Jul 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3808/MediaObjects/41590_2017_Article_BFni3808_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3808,0,0,1,0,0,0,0,0,0,0,0,0,0,0
α-ketoglutarate orchestrates macrophage activation through metabolic and epigenetic reprogramming,How glutamine metabolism orchestrates macrophage activation is unclear. Ho and colleagues show glutamine metabolism tailors the immune responses of macrophages through metabolic and epigenetic reprogramming.,Pu-Ste LiuHaiping WangPing-Chih Ho,17 Jul 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3796/MediaObjects/41590_2017_Article_BFni3796_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Increased cathepsin S in Prdm1−/− dendritic cells alters the TFH cell repertoire and contributes to lupus,Cathepsin S is responsible for cleaving the invariant chain Ii for the presentation of peptides by major histocompatibility complex class II on DCs. Diamond and colleagues show that the transcription factor Blimp-1 negatively regulates expression of cathepsin S and influences selection of the TFH cell repertoire and autoantibody-producing B cells.,Sun Jung KimSebastian SchätzleBetty Diamond,10 Jul 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3793/MediaObjects/41590_2017_Article_BFni3793_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3793,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Skewing of the population balance of lymphoid and myeloid cells by secreted and intracellular osteopontin,The size of immune-cell populations needs to be tightly regulated. Shinohara and colleagues demonstrate that intracellular and secreted osteopontin control the contraction and expansion of myeloid and lymphoid populations differently under infectious and autoimmune conditions.,Masashi KanayamaShengjie XuMari L Shinohara,03 Jul 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3791/MediaObjects/41590_2017_Article_BFni3791_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3791,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lineage specification of human dendritic cells is marked by IRF8 expression in hematopoietic stem cells and multipotent progenitors,"Liu and colleagues show that specification of the dendritic-cell lineage occurs in parallel with specification of the myeloid and lymphoid lineages in or around the hematopoietic-stem-cell stage, starting as a lineage bias defined by transcriptional programs that correlate with the combinatorial dose of IRF8 and PU.1.",Jaeyop LeeYu Jerry ZhouKang Liu,26 Jun 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3789/MediaObjects/41590_2017_Article_BFni3789_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3789,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germinal-center development of memory B cells driven by IL-9 from follicular helper T cells,Germinal centers generate high-affinity memory B cells. Qi and colleagues identify a precursor of memory B cells in germinal centers and demonstrate that the cytokine IL-9-derived from follicular helper T cells is important for their development into full-fledged memory cells.,Yifeng WangJingwen ShiHai Qi,26 Jun 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3788/MediaObjects/41590_2017_Article_BFni3788_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3788,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The BTG2-PRMT1 module limits pre-B cell expansion by regulating the CDK4-Cyclin-D3 complex,Expression of a competent Igh heavy chain initiates a pre-BCR checkpoint during B cell development. Reth and colleagues show that protein arginine methylation by a BTG2-PRMT1 complex is required to inactivate CDK4 and thereby establish pre-B cell arrest.,Elmar DolezalSimona InfantinoMichael Reth,19 Jun 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3774/MediaObjects/41590_2017_Article_BFni3774_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3774,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tissue-resident memory features are linked to the magnitude of cytotoxic T cell responses in human lung cancer,Vijayanand and colleagues use genome-wide RNA sequencing for transcriptional profiling of CD8+ T cells from tumors and adjacent uninvolved lung tissue from patients with early-stage lung cancer. A tissue-resident memory signature is associated with enhanced cytotoxicity and improved survival.,Anusha-Preethi GanesanJames ClarkeChristian H Ottensmeier,19 Jun 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3775/MediaObjects/41590_2017_Article_BFni3775_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3775,1,0,1,0,0,0,0,0,0,0,0,0,0,0
IgG Fc domains that bind C1q but not effector Fcγ receptors delineate the importance of complement-mediated effector functions,"Monoclonal antibody (mAb) therapy is now commonplace in the clinic, yet such reagents can elicit unwanted side effects due to interactions with Fcγ receptors. Georgiou and colleagues have engineered mAbs that lack such FcγR interactions but retain the ability to activate complement and show that these modified mAbs have efficacious effector function.",Chang-Han LeeGabrielle RomainGeorge Georgiou,12 Jun 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3770/MediaObjects/41590_2017_Article_BFni3770_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3770,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Essential role for GABARAP autophagy proteins in interferon-inducible GTPase-mediated host defense,"Various intracellular pathogens attempt to hide from innate cytosolic sensors by forming vacuoles. Yamamoto and colleagues show that the autophagy-related protein Gate-16, which is induced by interferon-γ, is required for noncanonical autophagy to control infection by Toxoplasma gondii.",Miwa SasaiNaoya SakaguchiMasahiro Yamamoto,12 Jun 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3767/MediaObjects/41590_2017_Article_BFni3767_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The transcription factor Runx3 guards cytotoxic CD8+ effector T cells against deviation towards follicular helper T cell lineage,Xue and colleagues show that Runx3−/− CD8+ T effector cells aberrantly upregulate genes characteristic of TFH cell lineage and exhibit impaired induction of cytotoxic molecules.,Qiang ShanZhouhao ZengHai-Hui Xue,12 Jun 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3773/MediaObjects/41590_2017_Article_BFni3773_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3773,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Post-translational control of T cell development by the ESCRT protein CHMP5,Thymocytes must undergo positive selection to survive and emigrate to the periphery as mature T cells. Glimcher and colleagues identify CHMP5 as a TCR-sensitive regulator of positive selection that acts by preventing oxidation and degradation of the pro-survival protein Bcl-2.,Stanley AdoroKwang Hwan ParkLaurie H Glimcher,29 May 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3764/MediaObjects/41590_2017_Article_BFni3764_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3764,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The A946T variant of the RNA sensor IFIH1 mediates an interferon program that limits viral infection but increases the risk for autoimmunity,Single-nucleotide polymorphisms in the gene encoding the cytosolic viral sensor IFIH1 are linked to a variety of autoimmune diseases. Rawlings and colleagues demonstrate that one such common polymorphism results in IFIH1 with more-potent activation and can act synergistically with other genetic backgrounds to manifest autoimmune disease.,Jacquelyn A GormanChristian HundhausenDavid J Rawlings,29 May 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3766/MediaObjects/41590_2017_Article_BFni3766_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atypical chemokine receptor 1 on nucleated erythroid cells regulates hematopoiesis,"Genetic polymorphisms affect expression of the atypical chemokine receptor ACKR1 (Duffy) on nucleated erythrocyte precursors. Rot and colleagues show that loss of its expression alters hematopoiesis, yielding a distinct neutrophil population that rapidly exits the bloodstream to give an apparent ‘neutropenia’ phenotype.",Johan DucheneIgor Novitzky-BassoAntal Rot,29 May 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3763/MediaObjects/41590_2017_Article_BFni3763_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8αα intraepithelial lymphocytes arise from two main thymic precursors,"TCRβ+CD8αα+ intraepithelial lymphocytes arise from CD4−CD8−CD5+ thymic cells, but the exact precursor source has been not been established. Hogquist and colleagues identify two distinct thymic populations that both give rise mainly to gut-homing intraepithelial lymphocytes.",Roland RuscherRebecca L KummerKristin A Hogquist,22 May 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3751/MediaObjects/41590_2017_Article_BFni3751_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3751,1,0,1,0,0,1,1,0,0,0,0,0,0,0
BACH2 immunodeficiency illustrates an association between super-enhancers and haploinsufficiency,"BACH2 is required for lymphocyte differentiation. Afzali et al. describe mutations that cause BACH2 disruption, immunodeficiency and autoinflammatory disease via haploinsufficiency, a mechanism shared by other super-enhancer-regulated genes.",Behdad AfzaliJuha GrönholmArian D J Laurence,22 May 2017,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fni.3753/MediaObjects/41590_2017_Article_BFni3753_Fig1_HTML.jpg,https://www.nature.com/articles/ni.3753,0,0,0,0,0,0,0,0,0,0,0,0,0,0
