Article,Summary,Authors,Date,Access,Figure,Link paper,TCR,BCR,T CELL,B CELL,NKC,CD4,CD8,DEEP LEARNING,MACHINE LEARNING,HLA
Hypoxia shapes the immune landscape in lung injury and promotes the persistence of inflammation,"Mirchandani and colleagues show that tissue hypoxia alters the number and phenotype of circulating monocytes and their differentiation into lung macrophages, with important implications for the resolution of inflammation in the lung.",Ananda S. MirchandaniStephen J. JenkinsSarah R. Walmsley,,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01216-z/MediaObjects/41590_2022_1216_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01216-z,0,0,0,0,0,0,0,0,0,0
Astrocyte-targeted gene delivery of interleukin 2 specifically increases brain-resident regulatory T cell numbers and protects against pathological neuroinflammation,Liston and colleagues design a gene-delivery system to specifically target astrocytes in the central nervous system to express IL-2 and thereby expand/maintain Treg cells to suppress neuroinflammation.,Lidia YshiiEmanuela PasciutoAdrian Liston,,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01208-z/MediaObjects/41590_2022_1208_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01208-z,0,0,0,0,0,0,0,0,0,0
Autoreactive CD8+ T cells are restrained by an exhaustion-like program that is maintained by LAG3,"Exhausted T cells are associated with inefficient viral clearance, tumor immunity and response to immunotherapy. Here the authors show CD8+ T cells in the pancreatic islets have a LAG3-promoted ‘restrained’ phenotype resembling exhausted cells but maintain effector functions, and LAG3 expression limits pathology in the nonobese diabetic mouse model of type 1 diabetes.",Stephanie GrebinoskiQianxia ZhangDario A. A. Vignali,26 May 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01210-5/MediaObjects/41590_2022_1210_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01210-5,0,0,1,0,0,0,1,0,0,0
KSHV-encoded ORF45 activates human NLRP1 inflammasome,"Liang and colleagues show that the ORF45 protein from the Kaposi’s sarcoma-associated herpesvirus activates NLRP1 by binding to its Linker1 region through a mechanism distinct from the previously described, host protease DPP9-dependent mechanism of NLRP1 activation.",Xing YangJingfan ZhouQiming Liang,26 May 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01199-x/MediaObjects/41590_2022_1199_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01199-x,0,0,0,0,0,0,0,0,0,0
Cytotoxic innate lymphoid cells sense cancer cell-expressed interleukin-15 to suppress human and murine malignancies,How the immune system responds to epithelial cancers beyond neoantigen-driven adaptive immunity is poorly understood. Kansler et al. reveal an innate immune surveillance response mediated by cytotoxic ILC1 sensing of cancer cell-expressed IL-15.,Emily R. KanslerSaïda DadiMing O. Li,26 May 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01213-2/MediaObjects/41590_2022_1213_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01213-2,0,0,1,0,0,0,1,0,0,0
Single-cell analysis identifies the interaction of altered renal tubules with basophils orchestrating kidney fibrosis,How fibrosis and inflammation are integrated is not entirely clear. Here the authors show that profibrotic proximal tubular cells in the kidneys recruit basophils and activate them to produce interleukin-6 and drive TH17 cell responses.,Tomohito DokeAmin AbediniKatalin Susztak,12 May 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01200-7/MediaObjects/41590_2022_1200_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01200-7,0,0,1,0,0,0,0,0,0,0
Superior immunogenicity and effectiveness of the third compared to the second BNT162b2 vaccine dose,"Around the world, governments are urging populations to receive a third COVID-19 vaccine dose. Here, the authors compare immunogenicity, reactogenicity and effectiveness of a third dose versus the second dose of the BNT162b2 vaccine in a large group of healthcare workers in Israel.",Yaniv LustigTal GonenYitshak Kreiss,09 May 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01212-3/MediaObjects/41590_2022_1212_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01212-3,0,0,0,0,0,0,0,0,0,0
ILC1s control leukemia stem cell fate and limit development of AML,"How ILC1s respond to cancer cells is somewhat controversial. Here, the authors show that IFNγ released by ILC1s can control acute myeloid leukemia by promoting leukemia stem cell apoptosis and favoring their differentiation into non-leukemic cells.",Zhenlong LiRui MaJianhua Yu,29 Apr 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01198-y/MediaObjects/41590_2022_1198_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01198-y,0,0,0,0,0,0,0,0,0,0
Reversal of the T cell immune system reveals the molecular basis for T cell lineage fate determination in the thymus,"To determine how T cell lineage fates are determined in the thymus, Singer and colleagues generated ‘FlipFlop’ mice with a functionally reversed T cell immune system that distinguishes TCR signal strength versus TCR signal duration.",Miho ShinzawaE. Ashley MosemanAlfred Singer,,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01187-1/MediaObjects/41590_2022_1187_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01187-1,1,0,1,0,0,1,1,0,0,0
Caspase-11 interaction with NLRP3 potentiates the noncanonical activation of the NLRP3 inflammasome,"Blander and colleagues show that concurrent detection of LPS and bacterial RNA triggers the interaction of procaspase-11 with NLRP3, upstream of the activation of either receptor and before NLRP3–ASC oligomerization.",Julien MorettiBaosen JiaJ. Magarian Blander,29 Apr 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01192-4/MediaObjects/41590_2022_1192_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01192-4,0,0,0,0,0,0,0,0,0,0
CD66b−CD64dimCD115− cells in the human bone marrow represent neutrophil-committed progenitors,Cassatella and colleagues identify CD66b−CD64dimCD115− cells in the human bone marrow as the earliest neutrophil-committed progenitor cells described to date.,Federica CalzettiGiulia FinottiMarco A. Cassatella,28 Apr 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01189-z/MediaObjects/41590_2022_1189_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01189-z,0,0,0,0,0,1,0,0,0,0
Mitochondrial electron transport chain is necessary for NLRP3 inflammasome activation,How the mitochondrial electron transport chain (ETC) interacts with the NLRP3 inflammasome is somewhat unclear. Here the authors use individual complex inhibitors and new genetic models to show that ETC is critical in providing ATP via the phosphocreatine shuttle to activate the NLRP3 inflammasome.,Leah K. BillinghamJoshua S. StoolmanNavdeep S. Chandel,,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01185-3/MediaObjects/41590_2022_1185_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01185-3,0,0,0,0,0,0,0,0,0,0
PD-L1–PD-1 interactions limit effector regulatory T cell populations at homeostasis and during infection,Perry et al. demonstrate that regulatory T (Treg) cell function is restrained by the cell-autonomous action of the checkpoint inhibitor molecule PD-1. This PD-1-dependent mechanism tunes Treg cell function during homeostasis and infection.,Joseph A. PerryLindsey ShallbergChristopher A. Hunter,18 Apr 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01170-w/MediaObjects/41590_2022_1170_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01170-w,0,0,1,0,0,0,0,0,0,0
LAG3 associates with TCR–CD3 complexes and suppresses signaling by driving co-receptor–Lck dissociation,"Vignali and colleagues show that the inhibitory receptor LAG3 interferes with TCR signaling and T cell activation by lowering the pH at the immune synapse, which causes the dissociation of the tyrosine kinase Lck from the CD4 or CD8 co-receptor.",Clifford GuyDiana M. MitreaDario A. A. Vignali,18 Apr 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01176-4/MediaObjects/41590_2022_1176_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01176-4,1,0,1,0,0,1,1,0,0,0
Replicative history marks transcriptional and functional disparity in the CD8+ T cell memory pool,"Schumacher and colleagues have designed a reporter system that allows in vivo tracking of replicative history over many cell generations. Using this system to study acute T cell responses, they uncover substantial diversity in past division of central memory CD8+ T cells and its link to cell state and recall potential.",Kaspar BresserLianne KokTon N. Schumacher,07 Apr 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01171-9/MediaObjects/41590_2022_1171_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01171-9,0,0,1,0,0,0,1,0,0,0
SARS-CoV-2 antigen exposure history shapes phenotypes and specificity of memory CD8+ T cells,"Thomas and colleagues describe how multiple SARS-CoV-2 antigen exposures, including mRNA vaccine boosters, primary infection and breakthrough infection, shape T cell immunity.",Anastasia A. MinervinaMikhail V. PogorelyyPaul G. Thomas,05 Apr 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01184-4/MediaObjects/41590_2022_1184_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01184-4,1,0,1,0,0,1,0,0,0,0
Dntt expression reveals developmental hierarchy and lineage specification of hematopoietic progenitors,Tussiwand and colleagues show that an uncommitted precursor expressing the lymphoid-specific factor TdT generates a large fraction of myeloid and a substantial fraction of erythro-megakaryocyte cells.,Fabian KleinJulien RouxRoxane Tussiwand,30 Mar 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01167-5/MediaObjects/41590_2022_1167_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01167-5,0,0,0,0,0,0,0,0,0,0
The transcription factor LRF promotes integrin β7 expression by and gut homing of CD8αα+ intraepithelial lymphocyte precursors,"Nie et al. show that the transcription factor LRF, by upregulating expression of the integrin gene Itgb7, imprints thymic precursors of CD8αα+ intraepithelial lymphocytes for eventual seeding of the gut tissues.",Jia NieAndrea C. CarpenterRémy Bosselut,30 Mar 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01161-x/MediaObjects/41590_2022_1161_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01161-x,1,0,1,0,0,0,1,0,0,0
Neutrophils direct preexisting matrix to initiate repair in damaged tissues,Rinkevich and colleagues show that preexisting matrix is transferred by neutrophils across organs into injured sites in a manner dependent on integrin activation.,Adrian FischerJuliane WannemacherYuval Rinkevich,,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01166-6/MediaObjects/41590_2022_1166_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01166-6,0,0,0,0,0,0,0,0,0,0
Neuroinflammation creates an immune regulatory niche at the meningeal lymphatic vasculature near the cribriform plate,Fabry and colleagues show that cribriform plate-resident lymphatic endothelial cells respond to neuroinflammatory signals by inducing functional changes that enhance antigen capture and presentation from the cerebrospinal fluid and promote leukocyte interactions within the central nervous system.,Martin HsuCollin LaakerZsuzsanna Fabry,28 Mar 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01158-6/MediaObjects/41590_2022_1158_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01158-6,0,0,1,0,0,1,0,0,0,0
B lymphocyte-derived acetylcholine limits steady-state and emergency hematopoiesis,"Nahrendorf and colleagues show that B cells in the bone marrow are an important source of the neurotransmitter acetylcholine, which limits hematopoiesis through modulating the signals produced by the bone marrow stromal niche during steady-state and emergency hematopoiesis.",Maximilian J. SchlossMaarten HulsmansMatthias Nahrendorf,28 Mar 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01165-7/MediaObjects/41590_2022_1165_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01165-7,0,0,0,1,0,0,0,0,0,0
IL-1 and IL-1ra are key regulators of the inflammatory response to RNA vaccines,RNA vaccines have been associated with high reactogenicity. Mellman and colleagues demonstrate that lipid-formulated RNA vaccines trigger IL-1 production and inflammation in humans but this pathway is dampened in mice.,Siri TahtinenAnn-Jay TongIra Mellman,24 Mar 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01160-y/MediaObjects/41590_2022_1160_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01160-y,0,0,0,0,0,0,0,0,0,0
Loss of the intracellular enzyme QPCTL limits chemokine function and reshapes myeloid infiltration to augment tumor immunity,Tumor-associated macrophages can restrict antitumor responses. Barreira da Silva and colleagues demonstrate that the intracellular enzyme QPCTL supports recruitment of immunomodulatory macrophages to the tumor microenvironment and its targeting can enhance tumor control.,Rosa Barreira da SilvaRicardo M. LeitaoMatthew L. Albert,21 Mar 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01153-x/MediaObjects/41590_2022_1153_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01153-x,0,0,1,0,0,0,1,0,0,0
Establishment and recall of SARS-CoV-2 spike epitope-specific CD4+ T cell memory,Wragg and colleagues use MHC class II tetramers and TCRβ sequencing to track clonal populations of spike-specific CD4+ cTFH cells from cohorts of convalescent individuals with coronavirus disease 2019 or SARS-CoV-2-vaccinated individuals over 15 months.,Kathleen M. WraggWen Shi LeeJennifer A. Juno,21 Mar 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01175-5/MediaObjects/41590_2022_1175_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01175-5,0,0,1,0,0,1,0,0,0,1
Mechanisms of innate and adaptive immunity to the Pfizer-BioNTech BNT162b2 vaccine,"How mRNA-based coronavirus disease 2019 vaccines drive immune responses is not clear. Here the authors characterize immune responses to the BNT162b2 vaccine in mice, and show how it stimulates innate immunity, with antigen-specific CD8+ T cell responses dependent on the RNA sensor MDA5.",Chunfeng LiAudrey LeeBali Pulendran,14 Mar 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01163-9/MediaObjects/41590_2022_1163_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01163-9,0,0,1,0,0,0,1,0,0,0
The transcription factor Fli1 restricts the formation of memory precursor NK cells during viral infection,O’Sullivan and colleagues identify that the transcription factor Fli1 plays important roles in controlling the establishment of NK cell memory.,Luke RigganFeiyang MaTimothy E. O’Sullivan,14 Mar 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01150-0/MediaObjects/41590_2022_1150_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01150-0,0,0,1,0,0,0,1,0,0,0
An engineered bispecific human monoclonal antibody against SARS-CoV-2,"Although COVID-19 vaccines are proving to be generally effective, new therapeutics to neutralize SARS-CoV-2 are required. Here, the authors engineer bispecific antibodies from ACE2-blocking B38 and H4 SARS-CoV-2 neutralizing antibodies and demonstrate their superiority in mice and nonhuman primates.",Zhaohui LiShihua LiYan Wu,28 Feb 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01138-w/MediaObjects/41590_2022_1138_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01138-w,0,0,0,0,0,0,0,0,0,0
PERK is a critical metabolic hub for immunosuppressive function in macrophages,Raines et al. examine the role of the PERK-mediated ER stress response in promoting and sustaining M2-like macrophages in type 2 immune response and in tumor immunity.,Lydia N. RainesHaoxin ZhaoStanley Ching-Cheng Huang,28 Feb 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01145-x/MediaObjects/41590_2022_1145_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01145-x,0,0,1,0,0,0,0,0,0,0
Tcf1 preprograms the mobilization of glycolysis in central memory CD8+ T cells during recall responses,Xue and colleagues show that the transcription factor Tcf1 preprograms a transcriptional program that supports the bioenergetic and proliferative needs of CD8+ central memory T cells in case of a secondary challenge.,Qiang ShanShengen Shawn HuHai-Hui Xue,21 Feb 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01131-3/MediaObjects/41590_2022_1131_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01131-3,0,0,1,0,0,0,1,0,0,0
Repertoire analyses reveal T cell antigen receptor sequence features that influence T cell fate,Raychaudhuri and colleagues identify TCR-intrinsic features that govern development of regulatory T cells.,Kaitlyn A. LagattutaJoyce B. KangSoumya Raychaudhuri,17 Feb 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-022-01129-x/MediaObjects/41590_2022_1129_Fig1_HTML.png,https://www.nature.com/articles/s41590-022-01129-x,1,0,1,0,0,0,0,0,0,0
Normality sensing licenses local T cells for innate-like tissue surveillance,"Hayday and colleagues show that sustained Skint1-dependent interactions between murine intraepidermal γδ T cells and keratinocytes are required to maintain the homeostatic barrier function and phenotype of the intraepidermal γδ T cells, including their preparedness to respond appropriately to epidermal challenges.",Duncan R. McKenzieRosie HartAdrian C. Hayday,,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01124-8/MediaObjects/41590_2021_1124_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01124-8,1,0,1,0,0,0,0,0,0,0
PD-1 agonism by anti-CD80 inhibits T cell activation and alleviates autoimmunity,Okazaki and colleagues develop and characterize monoclonal antibodies that co-opt T cell PD-1 activity. These antibodies can be used to ameliorate experimental autoimmune disease.,Daisuke SugiuraIl-mi OkazakiTaku Okazaki,10 Feb 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01125-7/MediaObjects/41590_2021_1125_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01125-7,0,0,1,0,0,0,1,0,0,0
The volume-regulated anion channel LRRC8C suppresses T cell function by regulating cyclic dinucleotide transport and STING–p53 signaling,"Concepcion et al. show that the volume-regulated anion channel LRRC8C mediates the transport of cGAMP in T cells, resulting in a noncanonical STING–p53-dependent suppression of Ca2+ influx, T cell proliferation and cytokine production.",Axel R. ConcepcionLarry E. Wagner IIStefan Feske,01 Feb 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01105-x/MediaObjects/41590_2021_1105_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01105-x,0,0,1,0,0,0,0,0,0,0
IFNγ and GM-CSF control complementary differentiation programs in the monocyte-to-phagocyte transition during neuroinflammation,"Becher and colleagues use a mouse model of multiple sclerosis to show that IFNγ is essential for the acquisition of a mature inflammatory phagocyte phenotype, while GM-CSF is required for phagocytosis and the production of IL-1β and ROS in Ly6Chi monocytes during neuroinflammation.",Ana AmorimDonatella De FeoBurkhard Becher,31 Jan 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01117-7/MediaObjects/41590_2021_1117_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01117-7,0,0,0,0,0,0,0,0,0,0
Group 3 innate lymphoid cells produce the growth factor HB-EGF to protect the intestine from TNF-mediated inflammation,TNF is an important driver of many inflammatory diseases. Zhou et al. demonstrate ILC3 production of the growth factor HB-EGF protects against TNF-mediated injury of the gut epithelium in inflammatory bowel disease.,Lei ZhouWenqing ZhouGregory F. Sonnenberg,31 Jan 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01110-0/MediaObjects/41590_2021_1110_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01110-0,0,0,0,0,0,0,0,0,0,0
Recruitment and activation of type 3 innate lymphoid cells promote antitumor immune responses,The function of type 3 innate lymphoid cells (ILC3s) in cancer is still poorly understood. Bruchard et al. demonstrate that ILC3s are critical for the recruitment of T cells to the tumor microenvironment and thereby play important roles in antitumor responses.,Mélanie BruchardMannon GeindreauFrançois Ghiringhelli,31 Jan 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01120-y/MediaObjects/41590_2021_1120_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01120-y,0,0,1,0,0,1,1,0,0,0
Recognition and inhibition of SARS-CoV-2 by humoral innate immunity pattern recognition molecules,"Stravalaci et al. examined recognition of SARS-CoV-2 by human soluble innate pattern recognition receptor. They report that pentraxin 3 and mannose-binding protein recognize viral nucleoprotein and spike, respectively. Mannose-binding lectin has antiviral activity, and human genetic polymorphisms of MBL2 are associated with more severe COVID-19.",Matteo StravalaciIsabel PaganiCecilia Garlanda,31 Jan 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01114-w/MediaObjects/41590_2021_1114_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01114-w,0,0,0,0,0,0,0,0,0,0
Neuropilin-1 mediates lung tissue-specific control of ILC2 function in type 2 immunity,"ILC2s are heterogeneous, dependent on tissue location. Here the authors show that TGFβ-induced neuropilin-1 specifically marks lung ILC2s and controls their function in pulmonary fibrosis by inducing expression of the ST2 IL-33 receptor.",Jingjing ZhangJinxin QiuLei Shen,24 Jan 2022,Payed Access,https://media.springernature.com/w290h158/springer-static/image/art%3A10.1038%2Fs41590-021-01097-8/MediaObjects/41590_2021_1097_Fig1_HTML.png,https://www.nature.com/articles/s41590-021-01097-8,0,0,0,0,0,0,0,0,0,0
